codigo_ibge;ano;modalidade_id;contratacoes;itens;itens_com_resultado;valor_estimado;coletado_em;municipio
3503950;2026;6;3;277;0;837505.6;2026-08-24T23:14:43+00:00;Aspásia
3524808;2026;6;4;32;1;22976984.21;2026-08-24T23:14:43+00:00;Jales
3524808;2026;7;1;7;0;8200622.25;2026-08-24T23:14:43+00:00;Jales
3524808;2026;8;19;87;83;159542.08;2026-08-24T23:14:43+00:00;Jales
3540259;2026;8;3;13;12;131979.43;2026-08-24T23:14:43+00:00;Pontalinda
3545704;2026;6;2;225;0;653033.2200000001;2026-08-24T23:14:43+00:00;Santa Albertina
3545704;2026;8;3;4;4;139255.0;2026-08-24T23:14:43+00:00;Santa Albertina
3546603;2026;6;8;559;74;8152822.95;2026-08-24T23:14:43+00:00;Santa Fé do Sul
3546603;2026;8;96;363;359;622984.45;2026-08-24T23:14:43+00:00;Santa Fé do Sul
3546603;2026;9;2;3;2;17140.0;2026-08-24T23:14:43+00:00;Santa Fé do Sul
3547650;2026;6;5;268;0;5399369.74;2026-08-24T23:14:43+00:00;Santa Salete
