numero_controle_pncp;numero_contrato;ano_contrato;cnpj_orgao;nome_orgao;codigo_ibge;ni_fornecedor;nome_fornecedor;objeto;valor_global;data_assinatura;vigencia_inicio;vigencia_fim;data_publicacao;segmento;tipo_segmento;coletado_em
45138070000149-2-000924/2026;76;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;18469727000188;RAFAEL GUERRA DE AQUINO;Contratação de apresentação teatral “Picadeiro Livre”, destinada aos usuários do Centro Dia Maturidade e seus familiares, em comemoração ao Dia Internacional da Pessoa Idosa.;6340.0;2026-08-19;2026-08-19;2026-11-28;2026-08-21T15:14:32;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000923/2026;6337;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;43232006000105;W.A. COMERCIO DE MEDICAMENTOS LTDA;"Aquisição de remédios para o Núcleo de Assistência à Saúde – NAS - Decreto Municipal 2798/2010, conforme Processo SEI n° 3546603.437.00001438/2026-91;";432.6;2026-08-21;2026-08-21;2026-08-21;2026-08-21T14:12:40;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000922/2026;6338;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;12399583000154;F. DE ASSIS FONTINELE & CIA. LTDA;"Aquisição de remédios para o Núcleo de Assistência à Saúde – NAS - Decreto Municipal 2798/2010, conforme Processo SEI n° 3546603.437.00001438/2026-91;";229.79;2026-08-21;2026-08-21;2026-08-21;2026-08-21T14:12:30;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000921/2026;6335;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;44186385000107;MAZOTI & MAZOTI FUNERARIA LTDA;Serviço de translado de ida e volta para São José do Rio Preto para verificação de óbito, conforme Processo SEI n° 3546603.437.00001426/2026-67.;700.0;2026-08-21;2026-08-21;2026-08-21;2026-08-21T14:11:36;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000920/2026;6334;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;44186385000107;MAZOTI & MAZOTI FUNERARIA LTDA;Serviço de translado de ida e volta para São José do Rio Preto para verificação de óbito, conforme Processo SEI n° 3546603.437.00000778/2026-03.;700.0;2026-08-21;2026-08-21;2026-08-21;2026-08-21T14:10:59;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000919/2026;6324;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;07820902000113;DROGRASUL SANTA FE DO SUL LTDA;Aquisição de remédios e óculos para o Núcleo de Assistência à Saúde - NAS - Decreto Municipal n°2798/2010, conforme Processo SEI n° 3546603.437.00001128/2026-77.;248.0;2026-08-20;2026-08-20;2026-08-20;2026-08-20T15:59:20;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000918/2026;6323;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;17471328000199;TATYANE CAROLINE CELES & CIA LTDA;Aquisição de remédios e óculos para o Núcleo de Assistência à Saúde - NAS - Decreto Municipal n°2798/2010, conforme Processo SEI n° 3546603.437.00001128/2026-77.;399.9;2026-08-20;2026-08-20;2026-08-20;2026-08-20T15:59:19;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000917/2026;6322;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;56097095000168;WANDERLEYA P G CELES & CIA LTDA;Aquisição de remédios e óculos para o Núcleo de Assistência à Saúde - NAS - Decreto Municipal n°2798/2010, conforme Processo SEI n° 3546603.437.00001128/2026-77.;620.0;2026-08-20;2026-08-20;2026-08-20;2026-08-20T15:59:18;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000916/2026;6321;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;05677457000159;JOELTON LOPES VILASBOAS & CIA LTDA;Aquisição de remédios e óculos para o Núcleo de Assistência à Saúde - NAS - Decreto Municipal n°2798/2010, conforme Processo SEI n° 3546603.437.00001128/2026-77.;1548.07;2026-08-20;2026-08-20;2026-08-20;2026-08-20T15:59:17;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
45138070000149-2-000915/2026;6320;2026;45138070000149;MUNICIPIO DE SANTA FE DO SUL;3546603;66608092000103;NARAMARY PAGLIUSO DA MOTA RAMOS - EPP;Aquisição de remédios e óculos para o Núcleo de Assistência à Saúde - NAS - Decreto Municipal n°2798/2010, conforme Processo SEI n° 3546603.437.00001128/2026-77.;855.0;2026-08-20;2026-08-20;2026-08-20;2026-08-20T15:59:16;nao_classificado;indefinido;2026-08-24T12:16:32+00:00
