id;execucao;contexto;url;status;erro;criado_em
25;2026-08-24T23:14:43+00:00;contratacoes 3540259 mod=9 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
24;2026-08-24T23:14:43+00:00;contratacoes 3540259 mod=7 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
23;2026-08-24T23:14:43+00:00;contratacoes 3540259 mod=6 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
22;2026-08-24T23:14:43+00:00;contratacoes 3540259 mod=5 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
21;2026-08-24T23:14:43+00:00;contratacoes 3555802 mod=12 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
20;2026-08-24T23:14:43+00:00;contratacoes 3555802 mod=9 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
19;2026-08-24T23:14:43+00:00;contratacoes 3555802 mod=8 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
18;2026-08-24T23:14:43+00:00;contratacoes 3555802 mod=7 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
17;2026-08-24T23:14:43+00:00;contratacoes 3555802 mod=6 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
16;2026-08-24T23:14:43+00:00;contratacoes 3555802 mod=5 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
15;2026-08-24T23:14:43+00:00;contratacoes 3547650 mod=12 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
14;2026-08-24T23:14:43+00:00;contratacoes 3547650 mod=9 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
13;2026-08-24T23:14:43+00:00;contratacoes 3547650 mod=8 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
12;2026-08-24T23:14:43+00:00;contratacoes 3547650 mod=7 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T23:14:43+00:00
11;2026-08-24T17:55:25+00:00;atas 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/atas;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T17:55:25+00:00
10;2026-08-24T17:55:25+00:00;contratos 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratos;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T17:55:25+00:00
9;2026-08-24T17:55:25+00:00;atas 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/atas?dataInicial=20260725&dataFinal=20260824&tamanhoPagina=500&cnpj=00973293000193&pagina=1;503;"HTTP 503: <html><body><h1>503 Service Unavailable</h1>
No server is available to handle this request.
</body></html>
";2026-08-24T17:55:25+00:00
8;2026-08-24T17:55:25+00:00;contratos 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratos;;ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'));2026-08-24T17:55:25+00:00
7;2026-08-24T17:55:25+00:00;atas 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/atas;;ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'));2026-08-24T17:55:25+00:00
6;2026-08-24T17:37:01+00:00;contratacoes 3546603 mod=12 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T17:37:01+00:00
5;2026-08-24T17:37:01+00:00;contratacoes 3546603 mod=9 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T17:37:01+00:00
4;2026-08-24T17:37:01+00:00;contratacoes 3546603 mod=8 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'));2026-08-24T17:37:01+00:00
3;2026-08-24T17:37:01+00:00;contratacoes 3546603 mod=7 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'));2026-08-24T17:37:01+00:00
2;2026-08-24T17:37:01+00:00;contratacoes 3546603 mod=6 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ConnectionError: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'));2026-08-24T17:37:01+00:00
1;2026-08-24T17:37:01+00:00;contratacoes 3546603 mod=5 2026-07-25..2026-08-24;https://pncp.gov.br/api/consulta/v1/contratacoes/publicacao;;ReadTimeout: HTTPSConnectionPool(host='pncp.gov.br', port=443): Read timed out. (read timeout=45);2026-08-24T17:37:01+00:00
