numero_controle_pncp;numero_item;codigo_ibge;municipio;municipio_prioritario;ano;numero_compra;modalidade_id;modalidade_nome;presencial;srp;situacao_contratacao;orgao_de_saude;objeto;data_publicacao;data_encerramento_proposta;link_sistema_origem;orgao;descricao;unidade_medida;quantidade;valor_unitario_estimado;valor_total_estimado;situacao_item_id;situacao_item_nome;tipo_beneficio_nome;segmento;tipo_segmento;dominio;aderencia;ni_fornecedor;nome_fornecedor;porte_fornecedor;valor_unitario_homologado;valor_total_homologado;desagio
65712002000159-1-000023/2026;1;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;BICO DE PNEU (MICRO-ONIBUS, ONIBUS E CAMINHÃO);PÇ;20.0;23.53;470.6;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;2;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;PNEU 275/80 R22,5;UN;20.0;1469.8537;29397.074;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;3;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;SERVIÇO DE ALINHAMENTO VEÍCULOS PESADOS (MICRO - ÔNIBUS, ÔNIBUS E CAMINHÃO);SER;10.0;196.24;1962.4;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;4;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;SERVIÇO DE BALANCEAMENTO VEÍCULOS PESADOS (MICRO - ÔNIBUS, ÔNIBUS E CAMINHÃO);SER;20.0;127.505;2550.1;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;5;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;SERVIÇO DE DESMONTAGEM E MONTAGEM DE PNEU VEÍCULOS PESADOS (MICRO - ÔNIBUS, ÔNIBUS E CAMINHÃO);SER;20.0;59.9167;1198.334;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;6;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;BICO DE PNEU (MICRO-ONIBUS, ONIBUS E CAMINHÃO);PÇ;12.0;23.53;282.36;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;7;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;PNEU 275/80 R22,5;UN;12.0;1469.8537;17638.2444;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;8;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;SERVIÇO DE ALINHAMENTO VEÍCULOS PESADOS (MICRO - ÔNIBUS, ÔNIBUS E CAMINHÃO);SER;6.0;196.24;1177.44;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;9;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;SERVIÇO DE BALANCEAMENTO VEÍCULOS PESADOS (MICRO - ÔNIBUS, ÔNIBUS E CAMINHÃO);SER;12.0;127.505;1530.06;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
65712002000159-1-000023/2026;10;3503950;Aspásia;0;2026;14;6;Pregão - Eletrônico;0;1;Divulgada no PNCP;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;2026-08-19T09:11:33;2026-09-08T08:00:00;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA;SERVIÇO DE DESMONTAGEM E MONTAGEM DE PNEU VEÍCULOS PESADOS (MICRO - ÔNIBUS, ÔNIBUS E CAMINHÃO);SER;12.0;59.9167;719.0004;1;Em andamento;Sem benefício;madeira_construcao;produto;construcao;baixa;;;;;;
