numero_controle_pncp;municipio;municipio_prioritario;numero_compra;modalidade_nome;presencial;objeto;valor_total_estimado;data_abertura_proposta;data_encerramento_proposta;orgao_de_saude;link_sistema_origem;orgao
46377800000127-1-003319/2026;Fernandópolis;0;46;Pregão - Eletrônico;0;Prestação de serviço de manutenção corretiva e preventiva em ar condicionado ;122500.0;2026-08-19T08:00:00;2026-09-03T09:00:00;0;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=18014705000462026;SAO PAULO SECRETARIA DA SEGURANCA PUBLICA
47842836000105-1-000151/2026;Fernandópolis;0;38;Pregão - Eletrônico;0;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE KITS DE LANCHES, BEBIDAS E INSUMOS, INCLUINDO O TRANSPORTE E ENTREGA EM TODOS OS PONTOS ESPECIFICADOS NO TERMO DE REFERÊNCIA, BEM COMO PARA A PRESTAÇÃO DE SERVIÇOS DE REFEIÇÃO PRONTA EM RESTAURANTE NA MODALIDADE SELF-SERVICE, VISANDO AO ATENDIMENTO DAS NECESSIDADES LOGÍSTICAS E OPERACIONAIS DO JUÍZO ELEITORAL DA 150ª ZONA ELEITORAL NO TREINAMENTO DE MESÁRIOS E NO APOIO ÀS ELEIÇÕES GERAIS DE 2026 (1º E 2º TURNOS) NO MUNICÍPIO DE FERNANDÓPOLIS/SP;129102.12;2026-08-17T08:00:00;2026-09-03T08:29:00;0;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=98641105000382026;MUNICIPIO DE FERNANDOPOLIS
45116092000108-1-000109/2026;Meridiano;0;5;Pregão - Presencial;1;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS MÉDICOS NA ESPECIALIDADE DE GINECOLOGIA E OBSTETRÍCIA, MEDIANTE DISPONIBILIZAÇÃO DE PROFISSIONAL MÉDICO DEVIDAMENTE HABILITADO, PARA REALIZAÇÃO DE CONSULTAS, ATENDIMENTOS, AVALIAÇÕES, ACOMPANHAMENTO CLÍNICO E DEMAIS PROCEDIMENTOS COMPATÍVEIS COM A ESPECIALIDADE, DESTINADOS ÀS USUÁRIAS DA REDE MUNICIPAL DE SAÚDE DE MERIDIANO/SP;106488.0;2026-09-03T00:01:00;2026-09-03T23:59:00;0;https://meridiano.sp.gov.br/licitacao/;MUNICIPIO DE MERIDIANO
45116712000109-1-000049/2026;São João das Duas Pontes;0;20;Pregão - Eletrônico;0;ELABORAÇÃO DE ATA DE REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS, DESTINADOS À ALIMENTAÇÃO ESCOLAR DAS ESCOLAS MUNICIPAIS E ESTADUAL, BEM COMO AO ATENDIMENTO DAS NECESSIDADES DAS DIVERSAS DIRETORIAS DO MUNICÍPIO QUE DEMANDEM O FORNECIMENTO DE GÊNEROS ALIMENTÍCIOS, PELO PERÍODO DE 12 (DOZE) MESES.;255533.14;2026-08-24T08:00:00;2026-09-03T08:59:00;0;;MUNICIPIO DE SAO JOAO DAS DUAS PONTES
45138070000149-1-000780/2026;Santa Fé do Sul;1;77;Pregão - Eletrônico;0;Registro de preços para aquisição de medicamentos para atendimento das demanda da farmacia municipal e demandas judiciais.;2531636.26;2026-08-24T09:00:00;2026-09-04T08:00:00;0;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=98703305000772026;MUNICIPIO DE SANTA FE DO SUL
65712002000159-1-000024/2026;Aspásia;0;15;Pregão - Eletrônico;0;Contratação de empresa para fornecimento de 01 (um) veículo automotor de passeio 0 km, 03 (três) lixeiras e 01 (um) tablet, destinados ao atendimento das necessidades do Departamento de Saúde do município de Aspásia/SP, conforme proposta nº 13870352000126001/2026, firmada entre o Ministério da Saúde e o município de Aspásia/SP.;122348.38;2026-08-24T08:00:00;2026-09-04T08:00:00;0;https://bllcompras.com/Process/ProcessView?param1=[gkz]4jJu5RffCYlYdps5LYfbR0JHx0oo9ahOA4uYtfW3spcbkFtm8dXlcESvWAickcC71IQWJEcN_vAtjWaGD8OwbilZw9ku4N5Bkf4NOm21WaU=;MUNICIPIO DE ASPASIA
47842836000105-1-000152/2026;Fernandópolis;0;39;Pregão - Eletrônico;0;ELABORAÇÃO DE ATA DE REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS TÉCNICOS DE OPERAÇÃO DE SOM E ILUMINAÇÃO, COM PREVISÃO DE CONSUMO PARCELADAMENTE NO DECORRER DE 12 (DOZE) MESES;231251.25;2026-08-17T08:00:00;2026-09-04T08:29:00;0;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=98641105000392026;MUNICIPIO DE FERNANDOPOLIS
01611211000123-1-000048/2026;Santa Salete;0;21;Pregão - Eletrônico;0;CONTRATAÇÃO DE LABORATÓRIO DE ANÁLISES CLÍNICAS PARA REALIZAÇÃO DE COLETA E ANALISES DE EXAMES LABORATORIAIS;222037.4;2026-08-20T08:30:00;2026-09-04T08:30:00;0;;MUNICIPIO DE SANTA SALETE
65712002000159-1-000023/2026;Aspásia;0;14;Pregão - Eletrônico;0;Registro de Preços para contratação de empresa especializada para o fornecimento parcelado de pneus e bicos novos e prestação de serviços de desmontagem e montagem, alinhamento e balanceamento, destinados à manutenção da frota de veículos e máquinas do município de Aspásia-SP.;665093.99;2026-08-20T08:00:00;2026-09-08T08:00:00;0;https://bllcompras.com/Process/ProcessView?param1=[gkz]i44RbKG8E9oJqSdtI6Sh4VkzESZ_8CfAACb4t7PThlEYD45sizcqDmpqW0HHsaZIDhYFYz0NE509__WgUwQg0krDq0X5mU0MdVNA8amx4aI=;MUNICIPIO DE ASPASIA
47842836000105-1-000155/2026;Fernandópolis;0;41;Pregão - Eletrônico;0;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA PRESTAÇÃO CONTÍNUA DE SOLUÇÃO INTEGRADA DE RADIOCOMUNICAÇÃO DIGITAL POC, INCLUINDO LOCAÇÃO DE EQUIPAMENTOS, SOFTWARE DE GRAVAÇÃO E GESTÃO OPERACIONAL, CONECTIVIDADE, SUPORTE TÉCNICO E MANUTENÇÃO, PARA ATENDIMENTO DO SAMU 192 REGIONAL FERNANDÓPOLIS;61816.08;2026-08-19T08:00:00;2026-09-08T08:29:00;0;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=98641105000412026;MUNICIPIO DE FERNANDOPOLIS
46377800000127-1-003566/2026;Fernandópolis;0;48;Pregão - Eletrônico;0;AQUISIÇÃO DE MATERIAL PERMANENTE;26498.46;2026-08-25T08:00:00;2026-09-08T09:00:00;0;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/compras/acompanhamento-compra?compra=18014705000482026;SAO PAULO SECRETARIA DA SEGURANCA PUBLICA
45138088000140-1-000005/2026;Santana da Ponte Pensa;0;014;Pregão - Eletrônico;0;AQUISIÇÃO DE (01) UM VEÍCULO PICK-UP, ZERO KM, PRIMEIRO EMPLACAMENTO, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DO MUNICÍPIO DE SANTANA DA PONTE PENSA.;229902.55;2026-08-26T08:00:00;2026-09-08T08:00:00;0;https://bllcompras.com/Process/ProcessView?param1=[gkz]Zc0JylBKo1JG2gT7EY9UZRj8hNFcLCGxTa88/fZstJSEJqAofOH7MjcCSf4ZZRWkbiEHAOFuJ5DOro/AMSClwfAD12P5RAVpzImGJl/PM6k=;MUNICIPIO DE SANTANA DA PONTE PENSA
45139482000101-1-000013/2026;Turmalina;0;17;Pregão - Eletrônico;0;Ata de registro de preço para futura e eventual aquisição de utensílios de cozinha destinados ao atendimento das demandas das Escolas Municipais, Unidades de Saúde, Secretaria de Assistência Social e demais setores da Administração Municipal.;103402.98;2026-08-11T15:00:00;2026-09-08T08:00:00;0;https://bllcompras.com/Process/ProcessView?param1=[gkz]N0wBsRugqEYND870UfbnyD0/_ysDfol_QeTbKmEoo4AHv33QRORAgb4lL/L7V7adIloPW1LwTLPlvbBu//DxKxic2se6ey_Ga28uyEu_ltY=;MUNICIPIO DE TURMALINA
45116290000171-1-000071/2026;Mira Estrela;0;26;Pregão - Eletrônico;0;SOLICITÇÃO DE PREGÃO DE MEDICAMENTOS CONTROLADO, GERAL E INJETAVEIS;4998762.9;2026-08-25T08:00:00;2026-09-09T08:30:00;0;;MUNICIPIO DE MIRA ESTRELA
